name,s,betx,bety,alfx,alfy,dx,dy,mux,muy
D199A,0.0,29.515618000000003,45.17494600000001,2.664132,-3.5821600000000005,-0.0,-0.0,0.0,0.0
Q19851_1,3.2062,15.252375065534647,71.29267969254425,1.7845121689430994,-4.563848886702084,0.0,0.0,0.024142536445021623,0.008996441360425544
BPM19851,3.259599999999989,15.140318061797974,71.41410866017749,0.31752159066316954,2.293788924272281,0.0,0.0,0.02470229069025509,0.009115449173106915
Q19851_2,3.259599999999989,15.140318061797974,71.41410866017749,0.31752159066316954,2.293788924272281,0.0,0.0,0.02470229069025509,0.009115449173106915
D199B1,3.3129999999999997,15.184320205224966,70.80440071117211,-1.1429406889275462,9.104427092786073,0.0,0.0,0.02526329792428672,0.009234866629718952
XC19900,4.040699999999999,16.928187871688376,58.18123665767504,-1.2534694614962816,8.242232318368314,0.0,0.0,0.03248964515888042,0.011039380447191105
D199B2,4.040699999999999,16.928187871688376,58.18123665767504,-1.2534694614962816,8.242232318368314,0.0,0.0,0.03248964515888042,0.011039380447191105
YC19900,4.383699999999999,17.80593737337273,52.66645837922913,-1.305566986563035,7.83583846427282,0.0,0.0,0.035634168709018366,0.01202556568991453
D199B3,4.383699999999999,17.80593737337273,52.66645837922913,-1.305566986563035,7.83583846427282,0.0,0.0,0.035634168709018366,0.01202556568991453
Q19871_1,5.399699999999999,20.615636612037637,37.967073961672824,-1.4598850199969167,6.632059584503077,0.0,0.0,0.04407794654534036,0.015642000087742414
BPM19871,5.4530999999999885,20.697536511268055,37.39720107004547,-0.07198137522110001,4.052511392538459,0.0,0.0,0.044489137682103275,0.015867683053829573
Q19871_2,5.4530999999999885,20.697536511268055,37.39720107004547,-0.07198137522110001,4.052511392538459,0.0,0.0,0.044489137682103275,0.015867683053829573
D199C,5.506499999999999,20.630974985949702,37.09938002827587,1.3169568246135355,1.5313479311713025,0.0,0.0,0.0449001759373342,0.0160959899461256
IM1988,10.077383999999999,11.360762035895966,24.98394607723914,0.7111438557042622,1.11921899440299,0.0,0.0,0.09315389543969643,0.04008165218782944
D199D,10.077383999999999,11.360762035895966,24.98394607723914,0.7111438557042622,1.11921899440299,0.0,0.0,0.09315389543969643,0.04008165218782944
LI19TERM,10.385874683414002,10.93461264616666,24.301989399588873,0.6702573101695501,1.0914042571752798,0.0,0.0,0.0975595680118515,0.04207426124352176
ENDL3F_2,10.385874683414002,10.93461264616666,24.301989399588873,0.6702573101695501,1.0914042571752798,0.0,0.0,0.0975595680118515,0.04207426124352176
BEGBC20,10.385874683414002,10.93461264616666,24.301989399588873,0.6702573101695501,1.0914042571752798,0.0,0.0,0.0975595680118515,0.04207426124352176
B1LE,10.385874683414002,10.93461264616666,24.301989399588873,0.6702573101695501,1.0914042571752798,0.0,0.0,0.0975595680118515,0.04207426124352176
CB1LE,11.448897284845948,9.659481062963856,22.07169500324123,0.529378564876771,1.006129131831869,0.012004681933634296,-0.0,0.11404971085079296,0.04938189007580318
