name,s,betx,bety,alfx,alfy,dx,dy
ffs_entrance__001,0.0,98.80798387931306,26.77598089218618,0.0,2.465190328815662e-32,-0.0,-0.0
lmd4__001,0.0,98.80798387931306,26.77598089218618,0.0,2.465190328815662e-32,-0.0,-0.0
qmd11__001,10.988305707601013,100.02997887995163,31.285353034699636,-0.11120868249900183,-0.41037920335563277,-0.0,-0.0
lmd5__001,14.14179977284311,100.39861841220207,34.3882595756685,-0.00552179682247153,-0.5749946568662601,-0.0,-0.0
qmd12__001,20.83488226384059,100.91874261727354,43.81862110216213,-0.07218891506118726,-0.8339767011258049,-0.0,-0.0
lmd6__001,23.98837632908269,102.73767002018435,48.87546238928972,-0.5069978711567319,-0.7629374055415726,-0.0,-0.0
qmd13__001,35.34095496395424,115.82606050560385,70.36988895067365,-0.645902355864471,-1.130414514995654,-0.0,-0.0
lmd7__001,38.49444902919634,92.6435844024756,98.2943369970049,7.371660013030718,-8.453429631701724,-0.0,-0.0
qmd14__001,49.84702766406789,2.256984963009965,385.23912005245654,0.5901081760771258,-16.82230659390321,-0.0,-0.0
lmd8__001,53.00052172930999,4.8815813714970515,405.79693957846456,-1.4816962939212786,10.78140566409631,-0.0,-0.0
qf8__001,63.88732929074528,114.72690757287342,205.28909539254215,-8.60806836679388,7.636100391231432,-0.0,-0.0
d8__001,67.0111805117741,127.24412077953538,228.64753029690695,5.074813537244305,-15.957647930300958,-0.0,-0.0
qd7__001,81.42895537806096,24.61529118621829,921.2131358926624,2.0434020365953485,-32.0778923676117,-0.0,-0.0
lx0__001,84.55280659908978,16.176260214455635,1001.5535304350745,0.7731782657597137,7.4742471078273764,-0.0,-0.0
sffb4__001,85.03339909463267,15.45590676931477,994.3825098380586,0.7257079045853433,7.446960908365175,-0.0,-0.0
sffb4__002,88.34945577893797,11.729078763080194,945.6177447353906,0.3981655273357829,7.258687922508976,5.945879989686934e-07,0.0
sffb4__003,91.66551246324326,10.174548935789394,898.1016274191683,0.07062315008598725,7.070414936652783,2.37835200829463e-06,-0.0
sffb4__004,94.98156914754856,10.79231728744335,851.8341578893906,-0.25691922716381066,6.8821419507965835,5.351292014522966e-06,-0.0
sffb4__005,98.29762583185385,13.582383818041615,806.8153361460589,-0.5844616044134248,6.693868964940395,9.513407995918951e-06,0.0
sffb4__006,101.61368251615914,18.544748527582513,763.0451621891715,-0.9120039816627421,6.505595979084196,1.4864699973182348e-05,-0.0
sffb4__007,104.92973920046444,25.67941141606259,720.5236360187299,-1.2395463589115137,6.317322993228005,2.1405167933893295e-05,0.0
sffb4__008,108.24579588476973,34.9863724834767,679.2507576347327,-1.5670887361595647,6.129050007371806,2.913481188219175e-05,-0.0
sffb4__009,111.56185256907503,46.465631729820196,639.2265270371811,-1.89463111340675,5.940777021515613,3.80536318367075e-05,0.0
sffb4__010,114.87790925338032,60.11718915508923,600.4509442260751,-2.2221734906529553,5.752504035659423,4.816162777777577e-05,0.0
lx0__002,118.19396593768562,75.94104475927496,562.9240092014135,-2.549715867897973,5.564231049803228,5.945879971367645e-05,-0.0
qd6c__001,118.67455843322851,78.41460728237267,557.5888673721028,-2.597186229071973,5.536944850341024,6.118225957065738e-05,-0.0
d7__001,121.79840965425733,97.44823422794592,512.6902642827383,-3.5372925188782083,8.7377810570526,7.304963851506e-05,-0.0
qd6b__001,171.9484257738024,800.9789024096117,15.728491217047255,-10.491230752273394,1.1717226982614344,0.00027489065330554504,-0.0
lx0__003,175.0722769948312,1074.7569270792396,7.51866118485919,-83.69457727028441,1.254091233116927,0.00031979716269318567,-0.0
qd6b__002,175.55286949037412,1156.708466507537,6.392280823597125,-86.82731016725077,1.089641496187686,0.00033194114048525774,-0.0
d6__001,178.67672071140294,2137.409005644243,2.3175383486060874,-250.55576803345852,0.11435018498698493,0.00045236521398658153,-0.0
sf6__001,234.2913671755318,120852.68482072816,1341.6506017553963,-1884.0487536667094,-24.19673043118081,0.0034158761435196614,-0.0
lx0sf6__001,235.86771101141167,126865.48649217613,1419.021553465165,-1930.3485463041304,-24.885804704045075,0.0034998740196788697,-0.0
qf5b__001,236.34782062709124,128725.81460495398,1443.0181435237712,-1944.450149737706,-25.09567718033444,0.0035254573899581015,-0.0
lx0__004,239.47167184812005,131414.18413662977,1719.6825217414992,1104.8693470127664,-65.6111279370221,0.0035621832788220948,-0.0
qf5b__002,239.95226434366296,130354.34582994388,1783.3252643243968,1100.4050102539893,-66.81445750830157,0.0035478057215450384,-0.0
d5od__001,243.07611556469178,114623.35796053425,2379.5676076731665,3812.4000440317004,-128.66874271160808,0.0033269550168314854,-0.0
octdrift2__001,292.2075038471903,46091.2450760642,31818.393574153157,-2417.525702390466,-470.51697126030047,-0.0021079652646538907,-0.0
sd5__001,293.67150431853497,53441.535586038764,33210.98042499488,-2603.1629202263043,-480.7032490191543,-0.002269913178848078,-0.0
d5odt__001,295.2478481544148,61961.281661208166,34743.774266227214,-2802.9416359850766,-491.67115807183893,-0.002444288529997471,-0.0
qf5a__001,314.73246190651645,219328.1212777402,56545.3636081953,-5273.525345536913,-627.2419299341432,-0.004599678926240939,-0.0
lx01__001,317.8563131275453,238027.99694475342,64487.736826752276,-581.5104396257327,-1970.4609536540374,-0.004791831131389348,-0.0
lx02__001,318.09660937531675,238307.54852994665,65438.20215699315,-581.851817416473,-1984.9288581122848,-0.004794650053757942,-0.0
qf5a__002,318.33690562308817,238587.26417869003,66395.62065354384,-582.193195207081,-1999.3967625705607,-0.004797468976126536,-0.0
lx0sf5__001,321.46075684411704,226809.06336905737,84479.38841844987,4270.013823198601,-3915.2403838279606,-0.0046776287218060295,-0.0
sf5__001,321.9385012471837,222747.46098719738,88261.77174803347,4231.60829093174,-4001.9289337077394,-0.004635568958755505,-0.0
d4odsf5_octdrift__001,323.5148450830635,209630.32589704878,101329.67092469851,4105.358470253191,-4287.970129892906,-0.004496790465909376,-0.0
oct1__001,340.57477629699133,92955.34737093859,300445.2636764936,2733.76515006479,-7383.5653678133485,-0.0029948646245804306,-0.0
d_oct1__001,340.57477629699133,92955.34392850664,300445.2280135245,2733.76504870053,-7383.564493665082,-0.0029948646245804306,-0.0
qd4b__001,340.57477629699133,92955.34392850664,300445.2280135245,2733.76504870053,-7383.564493665082,-0.0029948646245804306,-0.0
lx0sd4a__001,343.6986275180202,80234.77677454644,334265.51524615753,1396.5524958791427,-3287.175535212597,-0.002782534367873306,-0.0
sd4__001,344.177897183539,78901.70984968901,337423.8275870221,1384.902331674682,-3302.668488079979,-0.002759342398843831,-0.0
lx0sd4b__001,345.7542410194188,74595.37690274701,347918.38146161835,1346.5739820950316,-3353.644294290319,-0.0026830627591091635,-0.0
qd4a__001,346.2361563449858,73303.15296655716,351158.23417375714,1334.8595968456827,-3369.222857334767,-0.002659742765983206,-0.0
d3__001,349.36000756601464,68196.76429988354,356850.9700496711,323.4314100583966,1573.3917530836586,-0.002565568651743355,-0.0
newoct1__001,354.33482288037396,65016.70407617695,341367.9916740171,315.80040514603405,1538.8802404049818,-0.002505264518975511,-0.0
newdec2__001,354.33482288037396,65016.574340331426,341362.2395602057,315.7997682999076,1538.8539855396093,-0.002505264518975511,-0.0
d_oct1_dec2__001,354.33482288037396,65016.574340538406,341362.23958728876,315.7997683009195,1538.8539856632226,-0.002505264518975511,-0.0
sffb3__001,394.9693743973062,41884.57503055522,227755.30710434818,253.46944832487915,1256.96701498459,-0.002012697210483484,-0.0
sffb3__002,409.14685301582153,35005.779794916845,193508.42955139984,231.72227151195324,1158.6160710109843,-0.0018770692651544924,0.0
sffb3__003,423.3243316343369,28743.62482863101,162050.2888090434,209.9750946780743,1060.2651270373706,-0.0018139009217466979,0.0
sffb3__004,437.50181025285224,23098.1101319465,133380.88487728135,188.22791782335753,961.914183063763,-0.0018231921802589115,-0.0
sffb3__005,451.6792888713676,18069.23570565567,107500.2177561132,166.48074095234665,863.5632390901607,-0.0019049430405586546,0.0
sffb3__006,465.85676748988294,13657.001550149256,84408.287445539,144.73356406742224,765.2122951165661,-0.0020591535036395157,0.0
sffb3__007,480.0342461083983,9861.407665482759,64105.093945556684,122.9863871676347,666.8613511429614,-0.00228582356910406,-0.0
sffb3__008,494.21172472691364,6682.454052120635,46590.63725616738,101.23921025646968,568.5104071693542,-0.002584953237349722,0.0
sffb3__009,508.389203345429,4120.140710288035,31864.917377370763,79.49203333533907,470.159463195739,-0.0029565425085752205,-0.0
sffb3__010,522.5666819639445,2174.467640260631,19927.934309167023,57.74485640740936,371.8085192221124,-0.0034005913832442294,-0.0
lx0__005,536.74416058246,845.4348421401929,10779.68805155706,35.997679473377296,273.45757524848506,-0.00391709985950205,0.0
qf3b__001,537.2247530780029,811.1887020702031,10518.44699641438,35.26048703482536,270.1236449442948,-0.003935836750271071,0.0
lx0__006,540.3486042990318,598.8705183508596,8997.558485017313,32.46865296063558,218.43972338800526,-0.004036802261184201,0.0
sffb3b__001,540.8291967945746,568.069105458467,8788.822404244693,31.621846117170993,215.89098861532716,-0.00404910453780147,0.0
sffb3b__002,543.7127517678317,400.35332669756053,7587.851837413968,26.541005056522998,200.59857997926142,-0.004124406852575269,-0.0
sffb3b__003,546.5963067410888,261.9393169546267,6475.07427253445,21.460163995771815,185.3061713431952,-0.004202686477600838,-0.0
sffb3b__004,549.4798617143459,152.82707623004697,5450.489709606147,16.37932293492466,170.01376270712868,-0.004283943412798273,0.0
